amazon.com,54.239.25.192
wordpress.com,192.0.78.9
tudou.com,123.126.98.146
yahoo.co.jp,183.79.135.206
sohu.com,220.181.90.20
apple.com,17.142.160.59
hao123.com,180.149.132.19
windows.com,104.43.195.251
ebay.com,66.211.185.25
pps.tv,58.83.190.154
xunlei.com,182.118.18.100
56.com,101.227.173.126
fc2.com,54.187.26.65
paypal.com,64.4.250.23
sogou.com,118.191.216.42
tmall.com,140.205.94.193
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,207.241.148.80
hotmail.com,65.55.85.12
360.cn,125.88.190.56
craigslist.org,208.82.237.129
weather.com,23.208.251.29
soku.com,43.250.12.57
alibaba.com,205.204.101.42
megaupload.com,205.204.101.42
renren.com,103.235.252.211
livedoor.jp,125.6.149.67
blogger.com,
vkontakte.ru,
answers.com,67.196.156.65
rapidshare.com,10.11.12.13
daum.net,61.111.62.173
7k7k.com,115.182.59.33
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mediafire.com,205.196.120.12
ehow.com,23.227.11.12
seesaa.net,59.106.98.139
